t_s,t_min,phase,altitude_m,fuel_mass_kg,ullage_volume_m3,tank_pressure_Pa,tank_temperature_K,o2_fraction,inert_flow_mol_s,fuel_burn_kg_s
4085.0,68.08333333333333,cruise,10688.0,8947.899999998514,6.815125000001858,23766.613346278424,220.22927864331308,0.11761731007628938,0.0055898932438716385,0.6
4086.0,68.1,cruise,10688.0,8947.299999998513,6.815875000001858,23766.613346278424,220.22755500037607,0.11761806276718301,0.005589492644625575,0.6
4087.0,68.11666666666666,cruise,10688.0,8946.699999998513,6.816625000001858,23766.613346278424,220.22583327259787,0.1176188153724833,0.005589092476626574,0.6
4088.0,68.13333333333334,cruise,10688.0,8946.099999998512,6.81737500000186,23766.613346278424,220.22411345785054,0.11761956789204987,0.005588692739525138,0.6
4089.0,68.15,cruise,10688.0,8945.499999998512,6.81812500000186,23766.613346278424,220.22239555400847,0.1176203203257426,0.005588293432971932,0.6
4090.0,68.16666666666667,cruise,10688.0,8944.899999998512,6.81887500000186,23766.613346278424,220.22067955894846,0.1176210726734215,0.00558789455661798,0.6
4091.0,68.18333333333334,cruise,10688.0,8944.299999998511,6.81962500000186,23766.613346278424,220.21896547054962,0.11762182493494672,0.005587496110114531,0.6
4092.0,68.2,cruise,10688.0,8943.699999998511,6.820375000001862,23766.613346278424,220.21725328669345,0.1176225771101785,0.00558709809311291,0.6
4093.0,68.21666666666667,cruise,10688.0,8943.09999999851,6.821125000001862,23766.613346278424,220.21554300526378,0.11762332919897732,0.005586700505264613,0.6
4094.0,68.23333333333333,cruise,10688.0,8942.49999999851,6.821875000001862,23766.613346278424,220.2138346241468,0.1176240812012038,0.0055863033462214395,0.6
4095.0,68.25,cruise,10688.0,8941.89999999851,6.822625000001862,23766.613346278424,220.2121281412311,0.1176248331167187,0.005585906615635353,0.6
4096.0,68.26666666666667,cruise,10688.0,8941.29999999851,6.823375000001864,23766.613346278424,220.2104235544075,0.11762558494538297,0.005585510313158543,0.6
4097.0,68.28333333333333,cruise,10688.0,8940.69999999851,6.824125000001864,23766.613346278424,220.20872086156928,0.11762633668705763,0.005585114438443386,0.6
4098.0,68.3,cruise,10688.0,8940.099999998509,6.824875000001864,23766.613346278424,220.20702006061197,0.11762708834160393,0.005584718991142351,0.6
4099.0,68.31666666666666,cruise,10688.0,8939.499999998508,6.825625000001864,23766.613346278424,220.2053211494335,0.11762783990888331,0.005584323970908233,0.6
4100.0,68.33333333333333,cruise,10688.0,8938.899999998508,6.826375000001866,23766.613346278424,220.20362412593414,0.11762859138875728,0.005583929377394107,0.6
4101.0,68.35,cruise,10688.0,8938.299999998508,6.827125000001866,23766.613346278424,220.20192898801645,0.1176293427810875,0.0055835352102530465,0.6
